scenario_id,mode,statuses,has_error,recovered,PASS
STO-02,full,"IRRELEVANT,IRRELEVANT,RELEVANT_REVEAL,RELEVANT_REVEAL,IRRELEVANT,IRRELEVANT,DUPLICATE,DUPLICATE,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
STO-03,full,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
STO-04,full,"IRRELEVANT,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,DUPLICATE,IRRELEVANT",True,False,FAIL
STO-05,full,"IRRELEVANT,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT",True,False,FAIL
STO-06,full,"IRRELEVANT,IRRELEVANT,DUPLICATE,DUPLICATE,IRRELEVANT,IRRELEVANT",False,False,PASS
VIR-01,full,"IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,DUPLICATE",True,False,FAIL
VIR-02,full,"UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
VIR-03,full,"RELEVANT_REVEAL,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,RELEVANT_NEGATIVE,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
GIT-01,full,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
GIT-02,full,"IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT",True,False,FAIL
CI-01,full,"IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT",True,False,FAIL
CI-02,full,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
CI-03,full,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,DUPLICATE,IRRELEVANT",False,False,PASS
COD-01,full,"IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,RELEVANT_REVEAL,IRRELEVANT,RELEVANT_REVEAL,DUPLICATE,UNSUPPORTED_SEMANTIC_OPERATION,DUPLICATE",True,True,PASS
COD-02,full,"UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,DUPLICATE,UNSUPPORTED_SEMANTIC_OPERATION,DUPLICATE",True,False,FAIL
COD-03,full,"UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT",True,False,FAIL
COD-04,full,"IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,DUPLICATE,IRRELEVANT",True,False,FAIL
COD-05,full,"IRRELEVANT,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT",True,False,FAIL
COD-06,full,"IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
SEC-01,full,"UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,RELEVANT_NEGATIVE,IRRELEVANT",True,False,FAIL
SEC-02,full,"IRRELEVANT,IRRELEVANT,IRRELEVANT,DUPLICATE",False,False,PASS
SEC-03,full,"IRRELEVANT,IRRELEVANT,DUPLICATE,DUPLICATE,DUPLICATE,IRRELEVANT",False,False,PASS
SEC-04,full,"IRRELEVANT,IRRELEVANT,RELEVANT_NEGATIVE,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT",True,False,FAIL
X-01,full,"RELEVANT_NEGATIVE,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,DUPLICATE",False,False,PASS
X-02,full,"UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,DUPLICATE",True,False,FAIL
X-03,full,"RELEVANT_REVEAL,DUPLICATE,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
X-04,full,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
LIN-01,routed,"RELEVANT_REVEAL,RELEVANT_REVEAL,RELEVANT_NEGATIVE,RELEVANT_NEGATIVE,IRRELEVANT",False,False,PASS
LIN-02,routed,"RELEVANT_REVEAL,IRRELEVANT,DUPLICATE,DUPLICATE,DUPLICATE",False,False,PASS
LIN-03,routed,"UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT,RELEVANT_REVEAL,IRRELEVANT,IRRELEVANT,RELEVANT_REVEAL,RELEVANT_REVEAL,IRRELEVANT,IRRELEVANT,IRRELEVANT",True,True,PASS
LIN-04,routed,"IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT",True,False,FAIL
LIN-05,routed,"UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
NET-01,routed,"RELEVANT_REVEAL,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
NET-02,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
NET-03,routed,"IRRELEVANT,IRRELEVANT",False,False,PASS
NET-04,routed,"RELEVANT_REVEAL,DUPLICATE,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
NET-05,routed,IRRELEVANT,False,False,PASS
K8S-01,routed,"RELEVANT_REVEAL,RELEVANT_REVEAL,RELEVANT_REVEAL",False,False,PASS
K8S-02,routed,"RELEVANT_REVEAL,RELEVANT_REVEAL,RELEVANT_NEGATIVE,DUPLICATE",False,False,PASS
K8S-03,routed,"IRRELEVANT,RELEVANT_NEGATIVE,IRRELEVANT,IRRELEVANT",False,False,PASS
K8S-04,routed,"IRRELEVANT,DUPLICATE,RELEVANT_REVEAL,RELEVANT_NEGATIVE,DUPLICATE,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
K8S-05,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
K8S-06,routed,"IRRELEVANT,DUPLICATE,IRRELEVANT",False,False,PASS
K8S-07,routed,"IRRELEVANT,DUPLICATE,IRRELEVANT",False,False,PASS
K8S-08,routed,"RELEVANT_NEGATIVE,IRRELEVANT,IRRELEVANT,DUPLICATE",False,False,PASS
CON-01,routed,"IRRELEVANT,DUPLICATE,IRRELEVANT",False,False,PASS
CON-02,routed,"RELEVANT_REVEAL,IRRELEVANT,RELEVANT_NEGATIVE,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
CON-03,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
CON-04,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
STO-01,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT,DUPLICATE,IRRELEVANT",False,False,PASS
STO-02,routed,"IRRELEVANT,IRRELEVANT,RELEVANT_REVEAL,RELEVANT_REVEAL,IRRELEVANT,IRRELEVANT,DUPLICATE,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
STO-03,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
STO-04,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT",True,False,FAIL
STO-05,routed,"IRRELEVANT,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,DUPLICATE,UNSUPPORTED_SEMANTIC_OPERATION",True,False,FAIL
STO-06,routed,"IRRELEVANT,IRRELEVANT,DUPLICATE,IRRELEVANT,IRRELEVANT",False,False,PASS
VIR-01,routed,"IRRELEVANT,RELEVANT_REVEAL,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT",True,False,FAIL
VIR-02,routed,"UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT,IRRELEVANT",True,False,FAIL
VIR-03,routed,"UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT,RELEVANT_REVEAL,IRRELEVANT,RELEVANT_NEGATIVE,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT",True,True,PASS
GIT-01,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
GIT-02,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
CI-01,routed,"IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,IRRELEVANT",True,False,FAIL
CI-02,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
CI-03,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,DUPLICATE,IRRELEVANT",False,False,PASS
COD-01,routed,"IRRELEVANT,IRRELEVANT,DUPLICATE,IRRELEVANT",False,False,PASS
COD-02,routed,"UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,DUPLICATE,UNSUPPORTED_SEMANTIC_OPERATION,DUPLICATE",True,False,FAIL
COD-03,routed,"RELEVANT_NEGATIVE,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
COD-04,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
COD-05,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
COD-06,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
SEC-01,routed,"UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,UNSUPPORTED_SEMANTIC_OPERATION,IRRELEVANT,RELEVANT_NEGATIVE,IRRELEVANT",True,False,FAIL
SEC-02,routed,"IRRELEVANT,DUPLICATE,IRRELEVANT",False,False,PASS
SEC-03,routed,"IRRELEVANT,IRRELEVANT,DUPLICATE,DUPLICATE,DUPLICATE,IRRELEVANT",False,False,PASS
SEC-04,routed,"IRRELEVANT,RELEVANT_NEGATIVE,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
X-01,routed,"RELEVANT_NEGATIVE,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
X-02,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
X-03,routed,"RELEVANT_REVEAL,DUPLICATE,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
X-04,routed,"IRRELEVANT,IRRELEVANT,IRRELEVANT,IRRELEVANT",False,False,PASS
